"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"20654","consent.html","external-html","0","20955","0.0-0.0","","","","","","","","","",""
"1869797","","instructions","1","1890753","0.0-1.0","[{""page_index"":0,""viewing_time"":3766},{""page_index"":1,""viewing_time"":35114},{""page_index"":2,""viewing_time"":15899},{""page_index"":3,""viewing_time"":78810},{""page_index"":4,""viewing_time"":153181},{""page_index"":5,""viewing_time"":1555255},{""page_index"":6,""viewing_time"":27771}]","","","","","","","","",""
"null","","image-keyboard-response","2","1892268","0.0-2.0-0.0","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","1893283","0.0-2.0-1.0","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","1894295","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","1895807","0.0-2.0-0.1","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","1896818","0.0-2.0-1.1","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","1897819","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"420","","image-keyboard-response","8","1898240","0.0-2.0-0.2","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","9","1899249","0.0-2.0-1.2","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","1900251","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","11","1901761","0.0-2.0-0.3","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","12","1902763","0.0-2.0-1.3","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","13","1903768","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","1905272","0.0-2.0-0.4","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","1906281","0.0-2.0-1.4","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","1907289","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"300","","image-keyboard-response","17","1907588","0.0-2.0-0.5","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","18","1908592","0.0-2.0-1.5","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","19","1909598","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"515","","image-keyboard-response","20","1910113","0.0-2.0-0.6","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","21","1911125","0.0-2.0-1.6","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","22","1912130","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","23","1913644","0.0-2.0-0.7","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","24","1914648","0.0-2.0-1.7","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","25","1915655","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","26","1917159","0.0-2.0-0.8","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","27","1918167","0.0-2.0-1.8","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","28","1919176","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"332","","image-keyboard-response","29","1919508","0.0-2.0-0.9","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","30","1920517","0.0-2.0-1.9","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","31","1921518","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","32","1923032","0.0-2.0-0.10","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","33","1924044","0.0-2.0-1.10","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","34","1925046","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","35","1926553","0.0-2.0-0.11","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","36","1927563","0.0-2.0-1.11","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","37","1928565","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"83553","","instructions","38","2012119","0.0-3.0","[{""page_index"":0,""viewing_time"":83553}]","","","","","","","","",""
"570","","image-keyboard-response","39","2012692","0.0-4.0-0.0","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","40","2013701","0.0-4.0-1.0","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","41","2014707","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","42","2016215","0.0-4.0-0.1","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","43","2017229","0.0-4.0-1.1","","<img src=""img/blue-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","44","2018244","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","45","2019754","0.0-4.0-0.2","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","46","2020756","0.0-4.0-1.2","","<img src=""img/blue-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","47","2021770","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"385","","image-keyboard-response","48","2022157","0.0-4.0-0.3","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","49","2023169","0.0-4.0-1.3","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","50","2024181","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"529","","image-keyboard-response","51","2024710","0.0-4.0-0.4","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","52","2025724","0.0-4.0-1.4","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","53","2026724","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"376","","image-keyboard-response","54","2027101","0.0-4.0-0.5","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","55","2028108","0.0-4.0-1.5","","<img src=""img/blue-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","56","2029111","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"354","","image-keyboard-response","57","2029466","0.0-4.0-0.6","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","58","2030469","0.0-4.0-1.6","","<img src=""img/blue-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","59","2031470","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"386","","image-keyboard-response","60","2031856","0.0-4.0-0.7","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","61","2032867","0.0-4.0-1.7","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","62","2033868","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"330","","image-keyboard-response","63","2034198","0.0-4.0-0.8","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","64","2035205","0.0-4.0-1.8","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","65","2036220","0.0-4.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"328","","image-keyboard-response","66","2036548","0.0-4.0-0.9","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","67","2037561","0.0-4.0-1.9","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","68","2038576","0.0-4.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"344","","image-keyboard-response","69","2038920","0.0-4.0-0.10","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","70","2039928","0.0-4.0-1.10","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","71","2040945","0.0-4.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"332","","image-keyboard-response","72","2041277","0.0-4.0-0.11","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","73","2042279","0.0-4.0-1.11","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","74","2043281","0.0-4.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"306","","image-keyboard-response","75","2043587","0.0-4.0-0.12","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","76","2044594","0.0-4.0-1.12","","<img src=""img/orange-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","77","2045601","0.0-4.0-2.12","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","78","2047105","0.0-4.0-0.13","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","79","2048111","0.0-4.0-1.13","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","80","2049113","0.0-4.0-2.13","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"379","","image-keyboard-response","81","2049492","0.0-4.0-0.14","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","82","2050505","0.0-4.0-1.14","","<img src=""img/orange-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","83","2051505","0.0-4.0-2.14","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","84","2053011","0.0-4.0-0.15","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","85","2054025","0.0-4.0-1.15","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","86","2055030","0.0-4.0-2.15","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","87","2056530","0.0-4.0-0.16","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","88","2057537","0.0-4.0-1.16","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","89","2058546","0.0-4.0-2.16","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"393","","image-keyboard-response","90","2058939","0.0-4.0-0.17","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","91","2059942","0.0-4.0-1.17","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","92","2060950","0.0-4.0-2.17","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","93","2062455","0.0-4.0-0.18","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","94","2063456","0.0-4.0-1.18","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","95","2064464","0.0-4.0-2.18","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"411","","image-keyboard-response","96","2064875","0.0-4.0-0.19","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","97","2065878","0.0-4.0-1.19","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","98","2066879","0.0-4.0-2.19","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"470","","image-keyboard-response","99","2067351","0.0-4.0-0.20","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","100","2068363","0.0-4.0-1.20","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","101","2069371","0.0-4.0-2.20","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","102","2070876","0.0-4.0-0.21","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","103","2071885","0.0-4.0-1.21","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","104","2072893","0.0-4.0-2.21","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"423","","image-keyboard-response","105","2073315","0.0-4.0-0.22","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","106","2074320","0.0-4.0-1.22","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","107","2075336","0.0-4.0-2.22","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"503","","image-keyboard-response","108","2075839","0.0-4.0-0.23","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","109","2076841","0.0-4.0-1.23","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","110","2077848","0.0-4.0-2.23","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"476","","image-keyboard-response","111","2078326","0.0-4.0-0.24","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","112","2079336","0.0-4.0-1.24","","<img src=""img/orange-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","113","2080338","0.0-4.0-2.24","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","114","2081845","0.0-4.0-0.25","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","115","2082861","0.0-4.0-1.25","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","116","2083874","0.0-4.0-2.25","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","117","2085385","0.0-4.0-0.26","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","118","2086393","0.0-4.0-1.26","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","119","2087407","0.0-4.0-2.26","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"309","","image-keyboard-response","120","2087718","0.0-4.0-0.27","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","121","2088734","0.0-4.0-1.27","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","122","2089748","0.0-4.0-2.27","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"454","","image-keyboard-response","123","2090201","0.0-4.0-0.28","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","124","2091203","0.0-4.0-1.28","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","125","2092217","0.0-4.0-2.28","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"356","","image-keyboard-response","126","2092574","0.0-4.0-0.29","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","127","2093585","0.0-4.0-1.29","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","128","2094588","0.0-4.0-2.29","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"465","","image-keyboard-response","129","2095053","0.0-4.0-0.30","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","130","2096067","0.0-4.0-1.30","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","131","2097070","0.0-4.0-2.30","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","132","2098575","0.0-4.0-0.31","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","133","2099589","0.0-4.0-1.31","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","134","2100590","0.0-4.0-2.31","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"379","","image-keyboard-response","135","2100971","0.0-4.0-0.32","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","136","2101975","0.0-4.0-1.32","","<img src=""img/orange-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","137","2102977","0.0-4.0-2.32","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","138","2104486","0.0-4.0-0.33","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","139","2105498","0.0-4.0-1.33","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","140","2106505","0.0-4.0-2.33","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"452","","image-keyboard-response","141","2106959","0.0-4.0-0.34","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","142","2107967","0.0-4.0-1.34","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","143","2108974","0.0-4.0-2.34","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","144","2110479","0.0-4.0-0.35","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","145","2111480","0.0-4.0-1.35","","<img src=""img/blue-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","146","2112484","0.0-4.0-2.35","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"367","","image-keyboard-response","147","2112851","0.0-4.0-0.36","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","148","2113867","0.0-4.0-1.36","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","149","2114869","0.0-4.0-2.36","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","150","2116380","0.0-4.0-0.37","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","151","2117393","0.0-4.0-1.37","","<img src=""img/blue-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","152","2118394","0.0-4.0-2.37","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","153","2119899","0.0-4.0-0.38","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","154","2120912","0.0-4.0-1.38","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","155","2121917","0.0-4.0-2.38","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"350","","image-keyboard-response","156","2122265","0.0-4.0-0.39","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","157","2123280","0.0-4.0-1.39","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","158","2124287","0.0-4.0-2.39","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","159","2125792","0.0-4.0-0.40","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","160","2126800","0.0-4.0-1.40","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","161","2127809","0.0-4.0-2.40","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"398","","image-keyboard-response","162","2128208","0.0-4.0-0.41","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","163","2129217","0.0-4.0-1.41","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","164","2130220","0.0-4.0-2.41","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","165","2131722","0.0-4.0-0.42","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","166","2132725","0.0-4.0-1.42","","<img src=""img/blue-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","167","2133732","0.0-4.0-2.42","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"364","","image-keyboard-response","168","2134098","0.0-4.0-0.43","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","169","2135111","0.0-4.0-1.43","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","170","2136119","0.0-4.0-2.43","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"472","","image-keyboard-response","171","2136590","0.0-4.0-0.44","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","172","2137592","0.0-4.0-1.44","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","173","2138601","0.0-4.0-2.44","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","174","2140116","0.0-4.0-0.45","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","175","2141131","0.0-4.0-1.45","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","176","2142136","0.0-4.0-2.45","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"405","","image-keyboard-response","177","2142542","0.0-4.0-0.46","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","178","2143552","0.0-4.0-1.46","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","179","2144558","0.0-4.0-2.46","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","180","2146062","0.0-4.0-0.47","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","181","2147071","0.0-4.0-1.47","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","182","2148080","0.0-4.0-2.47","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"339","","image-keyboard-response","183","2148419","0.0-4.0-0.48","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","184","2149428","0.0-4.0-1.48","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","185","2150428","0.0-4.0-2.48","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","186","2151937","0.0-4.0-0.49","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","187","2152939","0.0-4.0-1.49","","<img src=""img/blue-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","188","2153953","0.0-4.0-2.49","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"293","","image-keyboard-response","189","2154246","0.0-4.0-0.50","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","190","2155262","0.0-4.0-1.50","","<img src=""img/orange-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","191","2156263","0.0-4.0-2.50","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","192","2157775","0.0-4.0-0.51","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","193","2158783","0.0-4.0-1.51","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","194","2159783","0.0-4.0-2.51","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","195","2161289","0.0-4.0-0.52","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","196","2162303","0.0-4.0-1.52","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","197","2163308","0.0-4.0-2.52","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"374","","image-keyboard-response","198","2163683","0.0-4.0-0.53","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","199","2164695","0.0-4.0-1.53","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","200","2165702","0.0-4.0-2.53","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"743","","image-keyboard-response","201","2166445","0.0-4.0-0.54","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","202","2167450","0.0-4.0-1.54","","<img src=""img/blue-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","203","2168452","0.0-4.0-2.54","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"451","","image-keyboard-response","204","2168903","0.0-4.0-0.55","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","205","2169919","0.0-4.0-1.55","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
